,Position_Title,Department,Employee_Annual_Salary
7433,COMMUNICATIONS OPERATIONS MANAGER,OEMC,101700.0
7434,CROSSING GUARD,POLICE,18148.0
7435,DIR OF MAINTENANCE OPERATIONS,GENERAL SERVICES,99696.0
7436,POLICE OFFICER,POLICE,80724.0
7437,MOTOR TRUCK DRIVER,GENERAL SERVICES,70408.0
7438,STREET LIGHT REPAIR WORKER,TRANSPORTN,93288.0
7439,POLICE OFFICER,POLICE,86130.0
7440,CAPTAIN-EMT,FIRE,121428.0
7441,FOREMAN OF ELECTRICAL MECHANICS,GENERAL SERVICES,95680.0
7442,SHEET METAL WORKER,AVIATION,85716.8
7443,HOISTING ENGINEER - MECHANIC,GENERAL SERVICES,102128.0
7444,POLICE OFFICER,POLICE,75372.0
7445,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,40368.0
7446,FIREFIGHTER,FIRE,80724.0
7447,POLICE OFFICER / FLD TRNG OFFICER,POLICE,79170.0
7448,ELECTRICAL MECHANIC,GENERAL SERVICES,89440.0
7449,MOTOR TRUCK DRIVER,AVIATION,70408.0
7450,FIREFIGHTER,FIRE,50490.0
7451,SANITATION LABORER,STREETS & SAN,70969.6
7452,FOSTER GRANDPARENT,FAMILY & SUPPORT,2756.0
7453,SANITATION LABORER,STREETS & SAN,70969.6
7454,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,15215.2
7455,AUDITOR IV,FINANCE,108924.0
7456,FIREFIGHTER,FIRE,75372.0
7457,SANITATION LABORER,STREETS & SAN,70969.6
7458,GENERAL SUPT OF STREETS AND SANITATION,TRANSPORTN,119256.0
7459,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,57900.0
7460,FOSTER GRANDPARENT,FAMILY & SUPPORT,2756.0
7461,CAPTAIN-EMT,FIRE,121428.0
7462,STEAMFITTER,AVIATION,95680.0
7463,SANITATION LABORER,STREETS & SAN,70969.6
7464,POLICE OFFICER,POLICE,78012.0
7465,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
7466,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
7467,LIBRARIAN IV,PUBLIC LIBRARY,91224.0
7468,SERGEANT,POLICE,105864.0
7469,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
7470,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
7471,POLICE OFFICER,POLICE,80724.0
7472,LIBRARIAN III,PUBLIC LIBRARY,72156.0
7473,OPERATING ENGINEER-GROUP A,AVIATION,96262.4
7474,SERGEANT,POLICE,105864.0
7475,POLICE OFFICER,POLICE,83706.0
7476,FIREFIGHTER-EMT,FIRE,81906.0
7477,POLICE OFFICER,POLICE,78012.0
7478,POLICE OFFICER,POLICE,75372.0
7479,FIRE ENGINEER-PARAMEDIC,FIRE,93930.0
7480,ALDERMANIC AIDE,CITY COUNCIL,24960.0
7481,FIRE COMMUNICATIONS OPERATOR II,OEMC,90202.68
7482,POOL MOTOR TRUCK DRIVER,STREETS & SAN,63377.6
7483,PAYMENT SERVICES REPRESENTATIVE,FINANCE,57828.0
7484,PARALEGAL II,LAW,63456.0
7485,POLICE OFFICER,POLICE,83706.0
7486,POLICE OFFICER,POLICE,61530.0
7487,POLICE OFFICER,POLICE,83706.0
7488,EDITORIAL ASST,CITY CLERK,57828.0
7489,CROSSING GUARD,POLICE,19000.8
7490,POLICE OFFICER,POLICE,43104.0
7491,LIBRARIAN II,PUBLIC LIBRARY,76524.0
7492,POLICE OFFICER,POLICE,80724.0
7493,FOREMAN OF WATER PIPE CONSTRUCTION,WATER MGMNT,99944.0
7494,POLICE OFFICER,POLICE,86130.0
7495,LIBRARIAN I,PUBLIC LIBRARY,69300.0
7496,POLICE OFFICER,POLICE,75372.0
7497,POLICE COMMUNICATIONS OPERATOR II,OEMC,73032.0
7498,POLICE OFFICER,POLICE,65016.0
7499,ASST ADMINISTRATIVE SECRETARY II,MAYOR'S OFFICE,44004.0
7500,WARD SUPERINTENDENT,STREETS & SAN,97416.0
7501,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
7502,FIREFIGHTER,FIRE,83982.0
7503,POLICE OFFICER,POLICE,75372.0
7504,HOISTING ENGINEER,TRANSPORTN,95888.0
7505,POLICE OFFICER,POLICE,78012.0
7506,POLICE OFFICER,POLICE,43104.0
7507,POLICE OFFICER,POLICE,80724.0
7508,POLICE OFFICER,POLICE,80724.0
7509,POLICE OFFICER,POLICE,80724.0
7510,FIREFIGHTER/PARAMEDIC,FIRE,81018.0
7511,POLICE OFFICER,POLICE,78012.0
7512,ACCOUNTANT III,FINANCE,87864.0
7513,POLICE OFFICER,POLICE,78012.0
7514,POLICE OFFICER,POLICE,83706.0
7515,LIBRARIAN III,PUBLIC LIBRARY,72156.0
7516,LIBRARY CLERK,PUBLIC LIBRARY,39912.0
7517,ASST TO THE MAYOR,MAYOR'S OFFICE,72000.0
7518,POLICE OFFICER,POLICE,65016.0
7519,PARAMEDIC,FIRE,75372.0
7520,PARAMEDIC I/C,FIRE,77784.0
7521,POLICE OFFICER,POLICE,78012.0
7522,LIEUTENANT,POLICE,122718.0
7523,STUDENT INTERN - MAYOR'S FELLOWS,MAYOR'S OFFICE,36400.0
7524,POLICE OFFICER,POLICE,78012.0
7525,POLICE OFFICER,POLICE,78012.0
7526,POLICE OFFICER,POLICE,80724.0
7527,POLICE COMMUNICATIONS OPERATOR II,OEMC,53628.0
7528,LABORER,AVIATION,65249.6
7529,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
7530,POLICE OFFICER,POLICE,78012.0
7531,POLICE OFFICER,POLICE,75372.0
7532,POLICE COMMUNICATIONS OPERATOR II,OEMC,69708.0
7533,POLICE OFFICER,POLICE,75372.0
7534,POLICE OFFICER,POLICE,75372.0
7535,CROSSING GUARD,POLICE,17316.0
7536,FIREFIGHTER-EMT,FIRE,79140.0
7537,LIEUTENANT-EMT,FIRE,104742.0
7538,FIREFIGHTER,FIRE,78012.0
7539,FIREFIGHTER,FIRE,83982.0
7540,SANITATION CLERK,STREETS & SAN,63048.0
7541,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
7542,ASST CHIEF OPERATING ENGINEER,AVIATION,105892.8
7543,FIREFIGHTER-EMT,FIRE,79140.0
7544,ASST REGIONAL DIR - AGING,FAMILY & SUPPORT,77280.0
7545,ELECTRICAL MECHANIC,OEMC,89440.0
7546,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
7547,POLICE OFFICER,POLICE,78012.0
7548,FIRE ENGINEER-EMT,FIRE,91740.0
7549,POLICE OFFICER,POLICE,75372.0
7550,FIREFIGHTER-EMT,FIRE,81906.0
7551,FOREMAN OF ELECTRICAL MECHANICS,OEMC,95680.0
7552,SUPVSR OF PUBLIC VEHICLE INSPECTORS,BUSINESS AFFAIRS,83220.0
7553,POLICE OFFICER,POLICE,80724.0
7554,POLICE OFFICER,POLICE,43104.0
7555,PARKING ENFORCEMENT AIDE,FINANCE,45924.0
7556,CONSUMER INVESTIGATOR II,BUSINESS AFFAIRS,83832.0
7557,ASST CHIEF OPERATING ENGINEER,GENERAL SERVICES,105892.8
7558,HOISTING ENGINEER,STREETS & SAN,95888.0
7559,COMMANDER,POLICE,154932.0
7560,PROJECTS ADMINISTRATOR,GENERAL SERVICES,94848.0
7561,LIBRARIAN II,PUBLIC LIBRARY,72156.0
7562,LEGISLATIVE AIDE,CITY COUNCIL,47499.0
7563,SHIFT SUPVSR OF SECURITY COMMUNICATIONS CENTER,OEMC,80916.0
7564,CONSTRUCTION LABORER,WATER MGMNT,76960.0
7565,LIEUTENANT-EMT,FIRE,98394.0
7566,POLICE OFFICER,POLICE,78012.0
7567,POLICE OFFICER,POLICE,65016.0
7568,PLUMBING INSPECTOR,WATER MGMNT,98028.0
7569,POLICE OFFICER,POLICE,80724.0
7570,FIREFIGHTER-EMT,FIRE,79140.0
7571,AVIATION SECURITY SERGEANT,AVIATION,57084.0
7572,LIEUTENANT-EMT,FIRE,101484.0
7573,LIEUTENANT-EMT,FIRE,108132.0
7574,POLICE OFFICER,POLICE,75372.0
7575,POLICE OFFICER,POLICE,83706.0
7576,SPECIALIST IN AGING II,FAMILY & SUPPORT,76524.0
7577,REFUSE COLLECTION COORD,STREETS & SAN,79512.0
7578,POLICE COMMUNICATIONS OPERATOR I,OEMC,57900.0
7579,POLICE OFFICER,POLICE,78012.0
7580,FIREFIGHTER-EMT,FIRE,79140.0
7581,MOTOR TRUCK DRIVER,AVIATION,70408.0
7582,STREET LIGHT REPAIR WORKER,TRANSPORTN,93288.0
7583,LIEUTENANT,FIRE,99756.0
7584,SANITATION LABORER,STREETS & SAN,70969.6
7585,POLICE OFFICER,POLICE,61530.0
7586,FIRE ENGINEER-EMT,FIRE,95076.0
7587,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
7588,FIREFIGHTER-EMT,FIRE,79140.0
7589,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
7590,POLICE OFFICER,POLICE,78012.0
7591,FIREFIGHTER,FIRE,87324.0
7592,SERGEANT,POLICE,99444.0
7593,POLICE OFFICER,POLICE,78012.0
7594,STATION LABORER,WATER MGMNT,42535.68
7595,FIREFIGHTER,FIRE,83982.0
7596,ELECTRICAL MECHANIC,WATER MGMNT,89440.0
7597,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,90738.0
7598,CROSSING GUARD,POLICE,16525.6
7599,POLICE OFFICER,POLICE,83706.0
7600,PUBLIC HEALTH AIDE,HEALTH,45828.0
7601,FOREMAN OF PIPE / SALVAGE YARDS,WATER MGMNT,79248.0
7602,FIREFIGHTER-EMT,FIRE,79140.0
7603,FIREFIGHTER-EMT,FIRE,81906.0
7604,SENIOR RESEARCH ANALYST,POLICE,76524.0
7605,LIBRARIAN I,PUBLIC LIBRARY,69300.0
7606,IT DIRECTOR (DoIT),DoIT,115008.0
7607,LIEUTENANT-EMT,FIRE,104742.0
7608,POLICE COMMUNICATIONS OPERATOR I,OEMC,80136.0
7609,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
7610,DETENTION AIDE,POLICE,66552.0
7611,FIREFIGHTER-EMT,FIRE,84762.0
7612,FIRE ENGINEER,FIRE,84396.0
7613,LIEUTENANT-EMT,FIRE,108132.0
7614,TIMEKEEPER - CPD,POLICE,63456.0
7615,POLICE OFFICER,POLICE,75372.0
7616,CONCRETE LABORER,TRANSPORTN,76960.0
7617,POLICE OFFICER,POLICE,78012.0
7618,POLICE OFFICER,POLICE,83706.0
7619,POLICE OFFICER,POLICE,80724.0
7620,POLICE OFFICER,POLICE,80724.0
7621,FIREFIGHTER-EMT,FIRE,79140.0
7622,COMMUNICATIONS OPERATOR I - 311,OEMC,48048.0
7623,SERGEANT,POLICE,105864.0
7624,BRIDGE OPERATOR,TRANSPORTN,54876.0
7625,SANITATION LABORER,STREETS & SAN,70969.6
7626,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8580.0
7627,ADMINISTRATIVE ASST III,FINANCE,69648.0
7628,PARKING ENFORCEMENT AIDE,FINANCE,45924.0
7629,YOUTH SERVICES COORD,FAMILY & SUPPORT,63516.0
7630,STAFF ASSISTANT - EXCLUDED,FIRE,73752.0
7631,CONCRETE LABORER,TRANSPORTN,76960.0
7632,POLICE COMMUNICATIONS OPERATOR II,OEMC,76452.0
7633,POLICE OFFICER,POLICE,80724.0
7634,FIREFIGHTER,FIRE,50490.0
7635,SERGEANT,POLICE,109278.0
7636,POLICE OFFICER,POLICE,78012.0
7637,MANAGER OF BUILDINGS SERVICES,CULTURAL AFFAIRS,80916.0
7638,CROSSING GUARD - PER AGREEMENT,POLICE,16317.6
7639,POLICE OFFICER,POLICE,83706.0
7640,SANITATION LABORER,STREETS & SAN,70969.6
7641,ADMINISTRATIVE DEPUTY,LAW,137076.0
7642,PROJECTS ADMINISTRATOR,PUBLIC LIBRARY,100692.0
7643,SENIOR OPERATIONS ANALYST,STREETS & SAN,83640.0
7644,POLICE OFFICER,POLICE,78012.0
7645,FIREFIGHTER,FIRE,87324.0
7646,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
7647,FOSTER GRANDPARENT,FAMILY & SUPPORT,2756.0
7648,FIREFIGHTER,FIRE,83982.0
7649,CEMENT FINISHER,TRANSPORTN,88088.0
7650,COMMANDER,POLICE,154932.0
7651,POLICE OFFICER,POLICE,75372.0
7652,FIREFIGHTER-EMT,FIRE,79140.0
7653,ASST CHIEF ENGINEER OF SEWERS,WATER MGMNT,116904.0
7654,POLICE OFFICER,POLICE,71748.0
7655,ZONING PLAN EXAMINER,COMMUNITY DEVELOPMENT,60600.0
7656,FIRE PREVENTION ENGINEER,FIRE,99648.0
7657,POLICE OFFICER,POLICE,61530.0
7658,ADMINISTRATIVE ASST III,HEALTH,69648.0
7659,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,93288.0
7660,ADMINISTRATIVE ASST III,GENERAL SERVICES,66492.0
7661,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
7662,POLICE OFFICER,POLICE,75372.0
7663,POLICE OFFICER,POLICE,75372.0
7664,POLICE OFFICER,POLICE,80724.0
7665,ADMINISTRATIVE ASST II,WATER MGMNT,57828.0
7666,PARAMEDIC,FIRE,75372.0
7667,POLICE OFFICER,POLICE,78012.0
7668,MOTOR TRUCK DRIVER,STREETS & SAN,71468.8
7669,LIBRARY CLERK,PUBLIC LIBRARY,41784.0
7670,FIREFIGHTER-EMT,FIRE,79140.0
7671,WATER RATE TAKER,WATER MGMNT,87228.0
7672,SUPERVISING CLERK,GENERAL SERVICES,76428.0
7673,FIREFIGHTER/PARAMEDIC,FIRE,83856.0
7674,PLUMBER,WATER MGMNT,95784.0
7675,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,43740.0
7676,DATA ENTRY OPERATOR,STREETS & SAN,45828.0
7677,SENIOR DATA ENTRY OPERATOR,POLICE,55212.0
7678,FIREFIGHTER-EMT,FIRE,79140.0
7679,GARAGE ATTENDANT,GENERAL SERVICES,45676.8
7680,WATER METER MACHINIST,WATER MGMNT,78000.0
7681,SERGEANT,POLICE,99444.0
7682,HOISTING ENGINEER - MECHANIC,GENERAL SERVICES,102128.0
7683,STEAMFITTER,WATER MGMNT,95680.0
7684,CROSSING GUARD,POLICE,16525.6
7685,POLICE OFFICER,POLICE,61530.0
7686,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
7687,CONSTRUCTION LABORER,WATER MGMNT,76960.0
7688,CROSSING GUARD,POLICE,18148.0
7689,FIREFIGHTER/PARAMEDIC,FIRE,81018.0
7690,LEGISLATIVE AIDE,CITY COUNCIL,58999.92
7691,POLICE OFFICER,POLICE,75372.0
7692,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
7693,POLICE OFFICER,POLICE,61530.0
7694,BRIDGE OPERATOR,TRANSPORTN,72456.0
7695,STAFF ASST,TRANSPORTN,58812.0
7696,POLICE OFFICER,POLICE,61530.0
7697,FIREFIGHTER-EMT,FIRE,84762.0
7698,LIEUTENANT-EMT,FIRE,108132.0
7699,POLICE OFFICER,POLICE,78012.0
7700,POLICE OFFICER,POLICE,78012.0
7701,SERGEANT,POLICE,102564.0
7702,TIMEKEEPER - CPD,POLICE,69648.0
7703,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
7704,POLICE OFFICER,POLICE,78012.0
7705,POLICE OFFICER,POLICE,75372.0
7706,LIEUTENANT-EMT,FIRE,98394.0
7707,AVIATION SECURITY OFFICER,AVIATION,60648.0
7708,REFUSE COLLECTION COORD,STREETS & SAN,83220.0
7709,POLICE OFFICER,POLICE,80724.0
7710,POLICE OFFICER,POLICE,75372.0
7711,POLICE OFFICER,POLICE,83706.0
7712,POLICE OFFICER,POLICE,80724.0
7713,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
7714,ASST DISTRICT SUPERINTENDENT,WATER MGMNT,102024.0
7715,LABORER,TRANSPORTN,76960.0
7716,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
7717,POLICE OFFICER,POLICE,80724.0
7718,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,91353.6
7719,FIRE ENGINEER-EMT,FIRE,91740.0
7720,POLICE OFFICER,POLICE,80724.0
7721,POLICE OFFICER,POLICE,78012.0
7722,CHIEF AUTO POUND SUPVSR,STREETS & SAN,93024.0
7723,LIEUTENANT-EMT,FIRE,101484.0
7724,CROSSING GUARD - PER AGREEMENT,POLICE,16317.6
7725,ASPHALT LABORER,TRANSPORTN,76960.0
7726,PUBLIC RELATIONS REPRESENTATIVE III,COMMUNITY DEVELOPMENT,79992.0
7727,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,87792.0
7728,POLICE OFFICER,POLICE,80724.0
7729,LABORER,AVIATION,65249.6
7730,STEAMFITTER,WATER MGMNT,95680.0
7731,SANITATION LABORER,STREETS & SAN,70969.6
7732,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
7733,LIBRARIAN I,PUBLIC LIBRARY,69300.0
7734,CONCRETE LABORER,TRANSPORTN,76960.0
7735,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
7736,SANITARIAN II,HEALTH,76428.0
7737,CONCRETE LABORER,TRANSPORTN,76960.0
7738,POLICE OFFICER,POLICE,78012.0
7739,SERGEANT,POLICE,105864.0
7740,HOISTING ENGINEER,STREETS & SAN,95888.0
7741,HOISTING ENGINEER,TRANSPORTN,95888.0
7742,LIEUTENANT-EMT,FIRE,101484.0
7743,LIEUTENANT,FIRE,102978.0
7744,CHIEF VOUCHER EXPEDITER,FINANCE,70380.0
7745,POLICE OFFICER,POLICE,80724.0
7746,FIREFIGHTER-EMT,FIRE,79140.0
7747,FIREFIGHTER-EMT,FIRE,79140.0
7748,INVESTIGATOR III - IG,INSPECTOR GEN,83100.0
7749,POLICE OFFICER,POLICE,80724.0
7750,CONCRETE LABORER,TRANSPORTN,76960.0
7751,EPIDEMIOLOGIST III,HEALTH,108924.0
7752,POLICE OFFICER,POLICE,78012.0
7753,POLICE OFFICER,POLICE,78012.0
7754,SANITATION LABORER,STREETS & SAN,70969.6
7755,SUPVSR OF 311 OPERATIONS,OEMC,76428.0
7756,ASST CHIEF OPERATING ENGINEER,WATER MGMNT,105892.8
7757,FIREFIGHTER,FIRE,83982.0
7758,COORD OF SPECIAL PROJECTS,AVIATION,88812.0
7759,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,91353.6
7760,CLERK III,POLICE,52740.0
7761,FIRE COMMUNICATIONS OPERATOR II,OEMC,90202.68
7762,SANITATION LABORER,STREETS & SAN,70969.6
7763,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,84756.0
7764,FIREFIGHTER-EMT,FIRE,79140.0
7765,POLICE CADET,POLICE,9360.0
7766,CROSSING GUARD,POLICE,21912.8
7767,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
7768,POLICE OFFICER,POLICE,78012.0
7769,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
7770,CROSSING GUARD - PER AGREEMENT,POLICE,16317.6
7771,POLICE OFFICER,POLICE,61530.0
7772,POLICE OFFICER,POLICE,78012.0
7773,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
7774,SANITATION LABORER,STREETS & SAN,70969.6
7775,SANITATION LABORER,STREETS & SAN,70969.6
7776,FIREFIGHTER,FIRE,80724.0
7777,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
7778,WARD SUPERINTENDENT,STREETS & SAN,83940.0
7779,SERGEANT,POLICE,102564.0
7780,POLICE OFFICER,POLICE,83706.0
7781,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
7782,POLICE OFFICER,POLICE,80724.0
7783,CROSSING GUARD - PER AGREEMENT,POLICE,16317.6
7784,RECRUITER,HUMAN RESOURCES,79464.0
7785,POLICE OFFICER,POLICE,80724.0
7786,PARAMEDIC FIELD CHIEF,FIRE,126402.0
7787,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
7788,LIBRARIAN II,PUBLIC LIBRARY,59268.0
7789,ASPHALT LABORER,TRANSPORTN,53872.0
7790,LIBRARIAN I,PUBLIC LIBRARY,65424.0
7791,POLICE OFFICER,POLICE,78012.0
7792,POLICE OFFICER,POLICE,61530.0
7793,POLICE OFFICER,POLICE,83706.0
7794,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
7795,SERGEANT,POLICE,102564.0
7796,SENIOR AUTOMOTIVE EQUIPMENT ANALYST,GENERAL SERVICES,87660.0
7797,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
7798,GENERAL FOREMAN OF ELECTRICAL MECHANICS,AVIATION,101919.96
7799,SENIOR DATA ENTRY OPERATOR,POLICE,57828.0
7800,SENIOR DATA ENTRY OPERATOR,FAMILY & SUPPORT,41364.0
7801,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
7802,DETENTION AIDE,POLICE,63552.0
7803,POLICE OFFICER (ASGND AS MARINE OFFICER),POLICE,84756.0
7804,PLUMBER,WATER MGMNT,95784.0
7805,CLERK IV,PUBLIC LIBRARY,60600.0
7806,POLICE OFFICER (ASGND AS MARINE OFFICER),POLICE,81900.0
7807,POLICE OFFICER,POLICE,83706.0
7808,POLICE OFFICER,POLICE,78012.0
7809,POLICE OFFICER,POLICE,75372.0
7810,POLICE OFFICER,POLICE,71748.0
7811,POLICE OFFICER,POLICE,80724.0
7812,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
7813,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
7814,POLICE OFFICER,POLICE,80724.0
7815,POLICE COMMUNICATIONS OPERATOR II,OEMC,63552.0
7816,CLERK III,POLICE,48048.0
7817,PARKING ENFORCEMENT AIDE,FINANCE,48060.0
7818,POLICE OFFICER,POLICE,83706.0
7819,LIBRARY ASSOCIATE,PUBLIC LIBRARY,44316.0
7820,POLICE OFFICER,POLICE,78012.0
7821,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
7822,LIEUTENANT-EMT,FIRE,98394.0
7823,CAPTAIN-EMT,FIRE,121428.0
7824,POLICE OFFICER,POLICE,75372.0
7825,POLICE OFFICER,POLICE,83706.0
7826,CROSSING GUARD,POLICE,19000.8
7827,POLICE OFFICER,POLICE,80724.0
7828,AVIATION SECURITY OFFICER,AVIATION,66552.0
7829,TIMEKEEPER - CPD,POLICE,69648.0
7830,SERGEANT,POLICE,109278.0
7831,POLICE OFFICER,POLICE,78012.0
7832,ANIMAL CONTROL INSPECTOR,ANIMAL CONTRL,48924.0
7833,FIREFIGHTER-EMT,FIRE,79140.0
7834,DEPUTY COMMISSIONER,FIRE,176520.0
7835,ASST SPECIALIST IN AGING,FAMILY & SUPPORT,55212.0
7836,LIEUTENANT-PARAMEDIC,FIRE,107232.0
7837,POLICE COMMUNICATIONS OPERATOR II,OEMC,80136.0
7838,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
7839,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8580.0
7840,EXPLOSIVES TECHNICIAN I,POLICE,99756.0
7841,ACCOUNTANT IV,AVIATION,91224.0
7842,POLICE OFFICER,POLICE,78012.0
7843,LIBRARIAN IV,PUBLIC LIBRARY,91224.0
7844,LIBRARIAN II,PUBLIC LIBRARY,76524.0
7845,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
7846,HOSPITALITY WORKER,FAMILY & SUPPORT,9516.0
7847,PUBLIC HEALTH ADMINISTRATOR III,HEALTH,80916.0
7848,SANITATION LABORER,STREETS & SAN,70969.6
7849,FIREFIGHTER-EMT,FIRE,79140.0
7850,POLICE OFFICER,POLICE,71748.0
7851,PERSONAL COMPUTER OPERATOR II,POLICE,55212.0
7852,CLERK IV,WATER MGMNT,60600.0
7853,LABORER,TRANSPORTN,76960.0
7854,LIBRARY CLERK,PUBLIC LIBRARY,36348.0
7855,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
7856,POLICE OFFICER,POLICE,78012.0
7857,POLICE OFFICER,POLICE,78012.0
7858,CHIEF VOUCHER EXPEDITER,CULTURAL AFFAIRS,80916.0
7859,POLICE OFFICER,POLICE,83706.0
7860,SANITATION LABORER,STREETS & SAN,70969.6
7861,ELECTRICAL MECHANIC (AUTOMOTIVE),GENERAL SERVICES,89440.0
7862,SANITARIAN II,HEALTH,72936.0
7863,POLICE OFFICER,POLICE,43104.0
7864,POLICE OFFICER,POLICE,75372.0
7865,POLICE OFFICER,POLICE,78012.0
7866,POLICE OFFICER,POLICE,65016.0
7867,POLICE OFFICER,POLICE,83706.0
7868,WATCHMAN,WATER MGMNT,43097.6
7869,SANITATION LABORER,STREETS & SAN,70969.6
7870,FINANCE OFFICER,GENERAL SERVICES,81876.0
7871,SERVICE COORD AIDE,FAMILY & SUPPORT,16296.8
7872,POLICE COMMUNICATIONS OPERATOR I,OEMC,76452.0
7873,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8580.0
7874,FIREFIGHTER-EMT,FIRE,84762.0
7875,CROSSING GUARD,POLICE,18148.0
7876,SUPERVISING DISEASE CONTROL INVESTIGATOR,HEALTH,76428.0
7877,POLICE OFFICER,POLICE,80724.0
7878,POLICE OFFICER,POLICE,78012.0
7879,BOOTER - PARKING,FINANCE,63440.0
7880,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,38004.0
7881,POLICE OFFICER,POLICE,83706.0
7882,POLICE OFFICER,POLICE,78012.0
7883,FIREFIGHTER-EMT,FIRE,79140.0
7884,SUPERVISING DISEASE CONTROL INVESTIGATOR - EXCL,HEALTH,64152.0
7885,TIMEKEEPER - CPD,POLICE,66492.0
7886,UNIT ASST,GENERAL SERVICES,50280.0
7887,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
7888,LIEUTENANT,FIRE,99756.0
7889,SENIOR DATA ENTRY OPERATOR,POLICE,55212.0
7890,FIREFIGHTER,FIRE,78012.0
7891,ASST COMMISSIONER,COMMUNITY DEVELOPMENT,87600.0
7892,SERGEANT,POLICE,105864.0
7893,POLICE OFFICER,POLICE,80724.0
7894,FIREFIGHTER,FIRE,75372.0
7895,LIBRARIAN I,PUBLIC LIBRARY,51180.0
7896,ASST COMMISSIONER,WATER MGMNT,111216.0
7897,SERGEANT,POLICE,102564.0
7898,POLICE OFFICER,POLICE,80724.0
7899,SERGEANT,POLICE,105864.0
7900,PAINTER,AVIATION,84760.0
7901,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
7902,LIBRARIAN IV,PUBLIC LIBRARY,86532.0
7903,LAW CLERK,LAW,25152.4
7904,HEAD LIBRARY CLERK,PUBLIC LIBRARY,52740.0
7905,FIREFIGHTER-EMT,FIRE,81906.0
7906,SERGEANT,POLICE,102564.0
7907,POLICE OFFICER,POLICE,78012.0
7908,POLICE OFFICER,POLICE,86130.0
7909,POLICE OFFICER,POLICE,75372.0
7910,POLICE OFFICER,POLICE,80724.0
7911,POLICE OFFICER,POLICE,80724.0
7912,POLICE OFFICER,POLICE,83706.0
7913,CLERK III,POLICE,31308.0
7914,LIBRARY CLERK,PUBLIC LIBRARY,39912.0
7915,CAPTAIN-EMT,FIRE,121428.0
7916,CONSTRUCTION LABORER (SUB-FOREMAN),WATER MGMNT,78624.0
7917,DEPUTY DIR,BOARD OF ETHICS,118080.0
7918,LIBRARIAN II,PUBLIC LIBRARY,76524.0
7919,COMMUNITY ORGANIZER-CAPS,POLICE,63456.0
