Date,coal,natural gas,solar energy
Romania,3,1,6
France,3,1,3
Turkey,2,1,4
Russia,3,1,2
Japan,2,1,2
Ukraine,3,1,2
Poland,4,1,2
Vietnam,2,0,3
Bosnia and Herzegovina,4,0,0
Botswana,90,0,0
Algeria,0,0,6
Estonia,8,0,0
Ethiopia,16,0,79
Croatia,3,0,5
Jamaica,16,0,100
Jordan,3,0,21
Kazakhstan,3,0,0
Lebanon,8,0,41
Sri Lanka,14,0,23
Lithuania,4,0,8
Luxembourg,9,0,0
Latvia,7,0,0
Morocco,1,0,7
Mongolia,100,0,0
Malta,11,0,51
Mauritius,16,0,66
Nepal,0,0,58
Serbia,4,0,5
Saint Helena,36,0,0
Slovenia,5,0,7
Uganda,0,0,69
Zambia,34,0,0
Zimbabwe,54,0,0
,,,
Top regions for solar energy,,,
Region,coal,natural gas,solar energy
Jamaica,16,0,100
India,76,13,88
Australia,100,13,85
Ethiopia,16,0,79
Pakistan,28,12,77
Uganda,0,0,69
Nigeria,70,18,69
South Africa,98,5,67
Trinidad and Tobago,13,30,66
Mauritius,16,0,66
Nepal,0,0,58
Kenya,16,5,57
Ghana,20,9,56
Malta,11,0,51
United States,45,46,49
Oman,10,12,48
United Arab Emirates,14,10,46
Singapore,37,11,45
Philippines,20,5,44
Tanzania,18,13,42
Lebanon,8,0,41
Bangladesh,16,9,41
Canada,38,35,37
Qatar,10,15,32
Cyprus,8,9,31
New Zealand,38,7,31
United Kingdom,44,7,30
Hong Kong,29,7,28
Malaysia,12,6,25
Puerto Rico,5,9,24
Sri Lanka,14,0,23
Ireland,30,7,22
Jordan,3,0,21
Kuwait,7,5,21
South Korea,12,4,18
Egypt,3,4,16
Greece,4,3,14
Iran,4,5,12
Taiwan,4,1,11
China,8,2,11
Israel,3,3,10
Saudi Arabia,2,2,10
Switzerland,7,3,10
Netherlands,6,3,9
Norway,8,4,9
Germany,4,2,9
Portugal,4,15,8
Lithuania,4,0,8
Denmark,6,2,8
Belgium,5,2,7
Slovenia,5,0,7
Austria,3,1,7
Morocco,1,0,7
Spain,3,100,6
Czech Republic,9,2,6
Sweden,6,2,6
Algeria,0,0,6
Italy,3,6,6
Romania,3,1,6
Thailand,5,2,6
Finland,5,2,5
Bulgaria,4,2,5
Croatia,3,0,5
Serbia,4,0,5
Indonesia,24,2,5
Mexico,2,23,4
Chile,4,11,4
Hungary,3,1,4
Turkey,2,1,4
Colombia,5,47,3
France,3,1,3
Vietnam,2,0,3
Poland,4,1,2
Japan,2,1,2
Ukraine,3,1,2
Argentina,2,28,2
Russia,3,1,2
Brazil,2,7,2
Bosnia and Herzegovina,4,0,0
Bolivia,5,44,0
Botswana,90,0,0
Costa Rica,3,5,0
Dominican Republic,0,27,0
Ecuador,0,7,0
Estonia,8,0,0
Guatemala,0,4,0
Kazakhstan,3,0,0
Luxembourg,9,0,0
Latvia,7,0,0
Mongolia,100,0,0
Mozambique,36,65,0
Panama,0,23,0
Peru,2,23,0
Saint Helena,36,0,0
Slovakia,4,1,0
Uruguay,0,8,0
Venezuela,2,20,0
Zambia,34,0,0
Zimbabwe,54,0,0
,,,
,,,
Top cities for coal,,,
City,coal,,
Kolkata (India),100,,
Vancouver (Canada),83,,
Johannesburg (South Africa),72,,
Pittsburgh (United States),64,,
New Delhi (India),61,,
Sydney (Australia),58,,
Denver (United States),51,,
Mumbai (India),51,,
Hyderabad (India),46,,
Calgary (Canada),44,,
Washington (United States),40,,
Bangalore (India),39,,
Chennai (India),37,,
Chicago (United States),35,,
Pune (India),35,,
,,,
Top cities for natural gas,,,
City,natural gas,,
Barcelona (Spain),100,,
Oklahoma City (United States),99,,
Madrid (Spain),86,,
Charlotte (United States),83,,
Valencia (Spain),68,,
Calgary (Canada),61,,
Portland (United States),59,,
Atlanta (United States),59,,
BogotÃ¡ (Colombia),56,,
Monterrey (Mexico),53,,
Houston (United States),50,,
Pittsburgh (United States),49,,
Seville (Spain),40,,
Edmonton (Canada),35,,
Washington (United States),29,,
,,,
Top cities for solar energy,,,
City,solar energy,,
Chennai (India),100,,
Hyderabad (India),95,,
New Delhi (India),94,,
Bangalore (India),79,,
Mumbai (India),78,,
Pune (India),58,,
Denver (United States),52,,
San Diego (United States),52,,
Washington (United States),51,,
Singapore (Singapore),50,,
Sydney (Australia),48,,
Toronto (Canada),46,,
San Francisco (United States),45,,
Houston (United States),40,,
Los Angeles (United States),37,,
,,,
,,,
,,,
Top searches for coal,,,
coal mine,100,,
coal india,100,,
coal mining,90,,
coal power,70,,
coal energy,65,,
coal mines,55,,
what is coal,45,,
coal oil,40,,
coal price,35,,
coal fire,30,,
coal creek,25,,
coal city,25,,
coal tar,25,,
coal chamber,25,,
coal power plant,25,,
coal miners,20,,
burning coal,20,,
uk coal,20,,
clean coal,20,,
black coal,20,,
coal news,20,,
coal minecraft,15,,
coal harbour,15,,
coal prices,15,,
natural gas,15,,
coal india limited,15,,
coal miner,15,,
coal stove,15,,
wande coal,10,,
coal ash,10,,
coking coal,10,,
coal fired pizza,10,,
thermal coal,10,,
steam coal,10,,
coal gasification,10,,
coal seam gas,10,,
coal train,10,,
coal india recruitment,10,,
coal stoves,10,,
price of coal,10,,
global coal,10,,
types of coal,10,,
coal merchants,5,,
fossil fuels,5,,
arch coal,5,,
anglo coal,5,,
white coal,5,,
western coal,5,,
advantages of coal,5,,
coal games,5,,
,,,
,,,
Top searches for natural gas,,,
gas prices,100,,
natural gas prices,100,,
gas natural fenosa,95,,
natural gas price,75,,
piedmont natural gas,70,,
el gas natural,70,,
georgia natural gas,60,,
propane,55,,
natural gas conversion,50,,
gas natural telefono,40,,
natural gas grill,35,,
oklahoma natural gas,35,,
natural gas generator,35,,
coal,30,,
natural gas companies,30,,
petroleo,25,,
virginia natural gas,25,,
ga natural gas,25,,
gas natural online,25,,
gas natural mexico,25,,
endesa,20,,
iberdrola,20,,
natural gas heaters,20,,
natural gas news,20,,
natural gas production,20,,
natural gas grills,20,,
natural gas car,20,,
cng,20,,
cascade natural gas,15,,
natural gas cars,15,,
natural gas furnace,15,,
natural gas chart,15,,
natural gas futures,15,,
factura gas natural,15,,
natural gas storage,15,,
gas natural bogota,15,,
compressed natural gas,15,,
natural gas bbq,15,,
northwest natural gas,15,,
lng,15,,
natural gas fireplace,15,,
nw natural gas,15,,
natural gas generators,15,,
union fenosa,15,,
natural gas etf,15,,
natural gas vehicles,15,,
liquid natural gas,10,,
nymex,10,,
nymex natural gas,10,,
nj natural gas,10,,
,,,
,,,
Top searches for solar energy,,,
solar power energy,100,,
solar power,95,,
wind energy,60,,
solar energy panels,55,,
solar panels,55,,
renewable energy,45,,
solar system,35,,
solar energy system,35,,
solar panel energy,30,,
solar panel,30,,
home solar energy,25,,
solar energy india,25,,
solar energy systems,25,,
solar energy advantages,25,,
solar energy cost,20,,
sun energy,20,,
solar electricity,20,,
wind power,20,,
solar energy disadvantages,20,,
green energy,20,,
nuclear energy,15,,
geothermal energy,15,,
geothermal,15,,
solar cells,15,,
solar energy facts,15,,
alternative energy,15,,
solar energy companies,15,,
solar cell,15,,
solar thermal energy,15,,
thermal energy,15,,
about solar energy,15,,
energy sources,15,,
solar technology,10,,
photovoltaic,10,,
photovoltaic solar energy,10,,
solar energy plant,10,,
solar energy world,10,,
solar energy company,10,,
solar energy efficiency,10,,
solar energy projects,10,,
solar heating,10,,
energy efficiency,10,,
biomass,10,,
biomass energy,10,,
solar energy jobs,10,,
solar energy australia,10,,
energy australia,10,,
solar energy definition,10,,
sources of energy,10,,
energy resources,10,,
,,,
,,,
,,,
Rising searches for coal,,,
coal fired pizza,Breakout,,
coal minecraft,Breakout,,
wande coal,Breakout,,
coal india limited,650%,,
coal india,350%,,
coal news,110%,,
what is coal,90%,,
coal city,60%,,
coal price,50%,,
coal fire,40%,,
,,,
,,,
Rising searches for natural gas,,,
gas natural fenosa,700%,,
gas natural online,350%,,
gas natural telefono,350%,,
natural gas news,120%,,
cascade natural gas,100%,,
oklahoma natural gas,90%,,
natural gas car,70%,,
piedmont natural gas,70%,,
ga natural gas,50%,,
endesa,40%,,
,,,
,,,
Rising searches for solar energy,,,
green energy,300%,,
solar energy india,250%,,
solar energy panels,130%,,
solar energy system,130%,,
solar system,130%,,
solar panels,110%,,
solar energy disadvantages,100%,,
solar energy advantages,90%,,
solar panel,80%,,
solar panel energy,80%,,
